collection_size;result_size
100;1
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;2
100;6
100;8
100;0
100;4
100;1
100;8
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;0
100;2
100;0
100;0
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;4
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;0
100;1
100;2
100;0
100;0
100;0
100;0
100;3
100;0
100;0
100;1
100;0
100;4
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;0
100;5
100;0
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;12
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;23
100;4
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;6
100;3
100;0
100;0
100;0
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;9
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;5
100;0
100;0
100;0
100;5
100;10
100;2
100;0
100;0
100;2
100;0
100;1
100;1
100;0
100;3
100;6
100;2
100;2
100;5
100;4
100;6
100;0
100;4
100;5
100;8
100;7
100;3
100;8
100;0
100;0
100;0
100;0
100;0
100;7
100;0
100;4
100;21
100;10
100;4
100;5
100;6
100;0
100;1
100;0
100;5
100;7
100;7
100;10
100;12
100;0
100;0
100;0
100;3
100;9
100;1
100;8
100;0
100;0
100;3
100;3
100;3
100;6
100;7
100;3
100;1
100;15
100;5
100;2
100;5
100;2
100;0
100;5
100;0
100;18
100;3
100;4
100;7
100;4
100;2
100;0
100;4
100;5
100;5
100;0
100;1
100;2
100;0
100;0
100;0
100;14
100;3
100;4
100;1
100;0
100;5
100;2
100;7
100;2
100;3
100;0
100;1
100;11
100;5
100;2
100;0
100;5
100;9
100;2
100;8
100;12
100;3
100;1
100;8
100;12
100;1
100;6
100;5
100;3
100;0
100;8
100;5
100;12
100;4
100;0
100;6
100;1
100;5
100;8
100;0
100;3
100;3
100;0
100;1
100;0
100;3
100;2
100;1
100;1
100;0
100;0
100;9
100;3
100;9
100;1
100;2
100;11
100;77
100;2
100;1
100;0
100;0
100;0
100;4
100;3
100;12
100;0
100;5
100;10
100;1
100;2
100;3
100;1
100;6
100;2
100;4
100;7
100;3
100;7
100;5
100;13
100;0
100;0
100;9
100;1
100;1
100;0
100;13
100;11
100;11
100;3
100;1
100;0
100;0
100;2
100;39
100;0
100;13
100;9
100;7
100;14
100;5
100;5
100;7
100;15
100;1
100;7
100;27
100;18
100;3
100;43
100;1
100;2
100;2
100;1
100;0
100;4
100;0
100;5
100;12
100;27
100;26
100;28
100;19
100;0
100;27
100;0
100;0
100;14
100;39
100;18
100;0
100;1
100;0
100;2
100;19
100;24
100;15
100;10
100;0
100;0
100;9
100;7
100;1
100;8
100;3
100;3
100;5
100;1
100;6
100;0
100;13
100;13
100;0
100;0
100;0
100;40
100;4
100;1
100;8
100;3
100;4
100;0
100;13
100;0
100;4
100;2
100;1
100;0
100;2
100;1
100;7
100;3
100;2
100;9
100;18
100;3
100;6
100;12
100;14
100;6
100;4
100;23
100;8
100;2
100;2
100;17
100;6
100;3
100;19
100;10
100;8
100;2
100;9
100;8
100;46
100;15
100;11
100;0
100;2
100;3
100;6
100;6
100;15
100;4
100;0
100;16
100;7
100;3
100;0
100;7
100;15
100;18
100;10
100;0
100;27
100;33
100;0
100;2
100;7
100;9
100;12
100;5
100;4
100;0
100;0
100;8
100;0
100;11
100;4
100;13
100;12
100;10
100;0
100;5
100;11
100;2
100;5
100;0
100;3
100;6
100;15
100;0
100;4
100;6
100;18
100;3
100;6
100;12
100;30
100;2
100;10
100;12
100;0
100;16
100;4
100;0
100;0
100;0
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;11
100;0
100;3
100;4
100;1
100;0
100;3
100;4
100;3
100;0
100;6
100;0
100;6
100;0
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;1
100;8
100;0
100;0
100;1
100;2
100;0
100;1
100;0
100;4
100;5
100;6
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;4
100;8
100;0
100;18
100;0
100;3
100;0
100;4
100;0
100;0
100;0
100;8
100;0
100;3
100;0
100;1
100;1
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;2
100;2
100;2
100;9
100;0
100;0
100;0
100;10
100;0
100;7
100;0
100;2
100;3
100;0
100;3
100;1
100;0
100;4
100;4
100;4
100;3
100;4
100;3
100;0
100;0
100;0
100;4
100;3
100;0
100;3
100;0
100;0
100;3
100;0
100;0
100;0
100;0
100;0
100;5
100;0
100;4
100;5
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;3
100;0
100;0
100;0
100;22
100;6
100;0
100;0
100;2
100;0
100;0
100;0
100;0
100;0
100;7
100;14
100;1
100;5
100;0
100;0
100;0
100;5
100;0
100;6
100;0
100;0
100;3
100;1
100;1
100;0
100;1
100;4
100;0
100;0
100;7
100;1
100;0
100;0
100;0
100;0
100;1
100;1
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;1
100;1
100;3
100;0
100;0
100;2
100;1
100;0
100;0
100;0
100;0
100;1
100;0
100;0
100;1
100;4
100;1
100;0
100;0
100;2
100;0
100;8
100;2
100;0
100;0
100;0
100;2
100;0
100;0
100;1
100;0
100;0
100;7
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;2
100;0
100;0
100;0
100;12
100;0
100;1
100;0
100;2
100;1
100;1
100;1
100;0
100;0
100;4
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;0
100;6
100;0
100;2
100;0
100;3
100;1
100;0
